Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-17;3/2022;0,8575;0,8623;0,2056;0,1488;1,4775;119;0
IPCA;2021-09-17;4/2022;1,1728;1,1945;0,2224;0,4397;1,8509;119;0
IPCA;2021-09-17;1/2023;1,0707;1,0631;0,1769;0,6012;1,6591;82;0
IPCA;2021-09-17;2/2023;0,7472;0,7317;0,1654;0,4306;1,2552;79;0
IPCA;2021-09-20;3/2021;2,8423;2,8974;0,1819;2,1496;3,0717;130;1
IPCA;2021-09-20;4/2021;1,5221;1,4974;0,1905;1,1342;2,1045;129;1
IPCA;2021-09-20;1/2022;1,2565;1,2048;0,2248;0,621;1,7398;121;1
IPCA;2021-09-20;2/2022;0,7604;0,797;0,2809;0,1393;1,5035;120;1
IPCA;2021-09-20;3/2022;0,8646;0,8624;0,208;0,0588;1,4775;119;1
IPCA;2021-09-20;4/2022;1,1758;1,2047;0,2281;0,4397;1,8509;119;1
IPCA;2021-09-20;1/2023;1,0703;1,0629;0,1779;0,6012;1,6591;81;1
IPCA;2021-09-20;2/2023;0,7426;0,7267;0,1614;0,4306;1,2552;78;1
IPCA;2021-09-20;3/2021;2,8423;2,8974;0,1819;2,1496;3,0717;130;0
IPCA;2021-09-20;4/2021;1,5221;1,4974;0,1905;1,1342;2,1045;129;0
IPCA;2021-09-20;1/2022;1,2565;1,2048;0,2248;0,621;1,7398;121;0
IPCA;2021-09-20;2/2022;0,7604;0,797;0,2809;0,1393;1,5035;120;0
IPCA;2021-09-20;3/2022;0,8646;0,8624;0,208;0,0588;1,4775;119;0
IPCA;2021-09-20;4/2022;1,1758;1,2047;0,2281;0,4397;1,8509;119;0
IPCA;2021-09-20;1/2023;1,0703;1,0629;0,1779;0,6012;1,6591;81;0
IPCA;2021-09-20;2/2023;0,7426;0,7267;0,1614;0,4306;1,2552;78;0
IPCA;2021-09-21;3/2021;2,8479;2,8974;0,1793;2,1496;3,0717;128;1
IPCA;2021-09-21;4/2021;1,528;1,5073;0,1877;1,1342;2,1045;127;1
IPCA;2021-09-21;1/2022;1,2582;1,2048;0,2262;0,621;1,7398;119;1
IPCA;2021-09-21;2/2022;0,7597;0,797;0,283;0,1393;1,5035;118;1
IPCA;2021-09-21;3/2022;0,867;0,8625;0,2089;0,0588;1,4775;117;1
IPCA;2021-09-21;4/2022;1,1782;1,2047;0,2282;0,4397;1,8509;117;1
IPCA;2021-09-21;1/2023;1,0679;1,0583;0,1777;0,6012;1,6591;80;1
