Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
Câmbio;2024-10-11;06/2026;5,3787;5,35;0,2344;4,7;6,0;95;0
IPCA Livres;2024-10-11;06/2026;0,2221;0,2378;0,0589;0,1;0,32;18;1
IPCA Livres;2024-10-11;06/2026;0,1962;0,2;0,0836;-0,0539;0,4;58;0
IPCA Serviços;2024-10-11;06/2026;0,3031;0,3;0,1086;0,16;0,57;17;1
IPCA Serviços;2024-10-11;06/2026;0,3048;0,3;0,1065;-0,0634;0,57;54;0
IPCA Bens industrializados;2024-10-11;06/2026;0,1648;0,16;0,0855;0,0;0,33;15;1
IPCA Bens industrializados;2024-10-11;06/2026;0,1345;0,15;0,0905;-0,08;0,33;52;0
IPCA Alimentação no domicílio;2024-10-11;06/2026;0,0806;0,125;0,1803;-0,3;0,33;14;1
IPCA Alimentação no domicílio;2024-10-11;06/2026;0,0453;0,075;0,2486;-0,44;0,65;52;0
IPCA Administrados;2024-10-11;06/2026;0,2998;0,25;0,2127;0,08;1,06;16;1
IPCA Administrados;2024-10-11;06/2026;0,2675;0,26;0,1366;0,035;1,06;61;0
IPCA;2024-10-11;05/2026;0,2616;0,26;0,0966;-0,04;0,4859;42;1
IPCA;2024-10-11;05/2026;0,2701;0,2691;0,0913;-0,04;0,555;104;0
Câmbio;2024-10-11;05/2026;5,3535;5,33;0,243;4,76;5,9;38;1
Câmbio;2024-10-11;05/2026;5,3704;5,3417;0,2369;4,7;6,0;96;0
IPCA Livres;2024-10-11;05/2026;0,2537;0,245;0,1407;-0,04;0,63;18;1
IPCA Livres;2024-10-11;05/2026;0,211;0,2;0,1187;-0,04;0,63;59;0
IPCA Serviços;2024-10-11;05/2026;0,189;0,2;0,1171;-0,02;0,4;17;1
IPCA Serviços;2024-10-11;05/2026;0,1542;0,14;0,1407;-0,24;0,5368;55;0
IPCA Bens industrializados;2024-10-11;05/2026;0,2395;0,25;0,0803;0,09;0,38;15;1
IPCA Bens industrializados;2024-10-11;05/2026;0,2424;0,24;0,0981;0,0;0,5328;53;0
IPCA Alimentação no domicílio;2024-10-11;05/2026;0,1949;0,2141;0,2251;-0,4;0,5;14;1
IPCA Alimentação no domicílio;2024-10-11;05/2026;0,2048;0,2282;0,1939;-0,4;0,67;53;0
IPCA Administrados;2024-10-11;05/2026;0,4149;0,395;0,2038;0,13;1,11;16;1
IPCA Administrados;2024-10-11;05/2026;0,4203;0,4;0,1592;-0,04;1,11;62;0
IPCA;2024-10-11;04/2026;0,3382;0,325;0,0777;0,2;0,54;42;1
IPCA;2024-10-11;04/2026;0,3435;0,335;0,0784;0,17;0,6;104;0
Câmbio;2024-10-11;04/2026;5,3562;5,34;0,2246;4,88;5,9;38;1
Câmbio;2024-10-11;04/2026;5,3614;5,341;0,2266;4,7;6,0;97;0
IPCA Livres;2024-10-11;04/2026;0,339;0,305;0,0727;0,2349;0,49;18;1
IPCA Livres;2024-10-11;04/2026;0,3297;0,315;0,0718;0,2;0,5532;60;0
IPCA Serviços;2024-10-11;04/2026;0,2549;0,28;0,0921;0,0;0,4;17;1
IPCA Serviços;2024-10-11;04/2026;0,2612;0,2638;0,1035;-0,01;0,4672;56;0
IPCA Bens industrializados;2024-10-11;04/2026;0,2347;0,2309;0,0714;0,08;0,32;15;1
IPCA Bens industrializados;2024-10-11;04/2026;0,2249;0,215;0,0747;0,08;0,4;54;0
IPCA Alimentação no domicílio;2024-10-11;04/2026;0,5456;0,485;0,2712;0,2282;1,18;14;1
IPCA Alimentação no domicílio;2024-10-11;04/2026;0,5578;0,535;0,2485;0,15;1,18;54;0
IPCA Administrados;2024-10-11;04/2026;0,3673;0,37;0,1605;-0,08;0,66;16;1
IPCA Administrados;2024-10-11;04/2026;0,4076;0,38;0,1765;-0,08;1,04;63;0
IGP-M;2024-10-11;03/2026;0,3575;0,32;0,1583;0,1131;0,82;18;1
IGP-M;2024-10-11;03/2026;0,35;0,32;0,1423;0,1131;0,82;24;0
IPCA;2024-10-11;03/2026;0,3047;0,3;0,0793;0,19;0,63;42;1
IPCA;2024-10-11;03/2026;0,3233;0,3;0,1053;0,14;0,8304;105;0
Câmbio;2024-10-11;03/2026;5,3463;5,335;0,2225;4,77;5,8;38;1
Câmbio;2024-10-11;03/2026;5,362;5,35;0,221;4,7;6,0;97;0
IPCA Livres;2024-10-11;03/2026;0,2835;0,295;0,0918;0,07;0,45;18;1
IPCA Livres;2024-10-11;03/2026;0,2836;0,28;0,0906;0,07;0,5651;60;0
IPCA Serviços;2024-10-11;03/2026;0,1961;0,2;0,0898;0,01;0,3;17;1
IPCA Serviços;2024-10-11;03/2026;0,2152;0,2;0,121;0,01;0,6852;56;0
IPCA Bens industrializados;2024-10-11;03/2026;0,2193;0,23;0,0835;0,07;0,35;15;1
IPCA Bens industrializados;2024-10-11;03/2026;0,2144;0,22;0,1019;-0,14;0,38;55;0
IPCA Alimentação no domicílio;2024-10-11;03/2026;0,6092;0,55;0,2994;0,2282;1,32;14;1
IPCA Alimentação no domicílio;2024-10-11;03/2026;0,5773;0,575;0,2464;0,11;1,32;54;0
IPCA Administrados;2024-10-11;03/2026;0,3448;0,32;0,1289;0,24;0,8;16;1
IPCA Administrados;2024-10-11;03/2026;0,3388;0,31;0,1375;0,12;0,8;63;0
IGP-M;2024-10-11;02/2026;0,3455;0,34;0,1937;-0,19;0,74;20;1
IGP-M;2024-10-11;02/2026;0,3311;0,32;0,1473;-0,19;0,74;49;0
IPCA;2024-10-11;02/2026;0,5126;0,5;0,1538;0,2;0,8846;42;1
IPCA;2024-10-11;02/2026;0,5149;0,5;0,128;0,2;0,8846;105;0
