;Unnamed: 0;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais
2802;2802;2018-04-01;Elo;Crédito;Corporativo;23123;14109;19276;115741735,52;369;142468,94
2803;2803;2021-04-01;Hipercard;Crédito;Empresarial;1722;1098;8087;3830757,18;4;379,2
2804;2804;2013-10-01;VISA;Débito;Básico Nacional;8556032;3687692;59604207;3729215260,31;1;41,63
2805;2805;2011-07-01;MasterCard;Débito;Intermediário;892498;408111;6266528;398087088,04;4023;882427,4
2806;2806;2013-04-01;VISA;Débito;Empresarial;1298906;548042;8375990;928469905,09;0;0,0
2807;2807;2022-04-01;MasterCard;Pré-Pago;Outros;12463410;1526982;28262871;1669744844,89;180556;32389612,08
2808;2808;2022-10-01;VISA;Débito;Empresarial;1312146;534592;19714741;2618721120,64;2561;656622,51
2809;2809;2018-01-01;Outras;Crédito;Outros;1204079;316145;2342077;301814735,21;18;1686,45
2810;2810;2023-07-01;Elo;Crédito;Corporativo;22346;9267;96921;109810778,15;515;572583,86
2811;2811;2018-04-01;MasterCard;Pré-Pago;Básico Internacional;50181;47936;60673;13336784,45;62009;28601694,92
2812;2812;2011-01-01;MasterCard;Crédito;Outros;7795522;3470609;25219114;2035647296,25;5291;748033,49
2813;2813;2023-04-01;VISA;Pré-Pago;Outros;20036717;4427963;79117162;3862869107,55;67577;9743208,43
2814;2814;2016-01-01;MasterCard;Crédito;Corporativo;47969;24928;893854;351776436,76;55875;44181346,87
2815;2815;2019-10-01;Elo;Pré-Pago;Outros;4275153;2206113;18387707;733367406,32;101;6697,73
2816;2816;2011-04-01;American Express;Crédito;Intermediário;2209775;1311622;17937256;1603833019,08;787908;184304034,04
2817;2817;2015-10-01;MasterCard;Débito;Intermediário;731406;304513;7364101;573195523,6;1534;400288,52
2818;2818;2024-01-01;VISA;Pré-Pago;Outros;21008233;3943159;62625252;3024343212,84;80660;9357121,77
2819;2819;2018-10-01;VISA;Débito;Empresarial;1049638;515839;14157476;1810683177,6;1210;344508,72
2820;2820;2023-01-01;MasterCard;Crédito;Platinum;16855461;12549527;438873240;56455513691,92;3485008;937551655,84
2821;2821;2023-10-01;MasterCard;Pré-Pago;Outros;11171812;791760;8398382;408756499,32;62062;9320829,71
2822;2822;2021-07-01;MasterCard;Pré-Pago;Premium;8012;4315;48218;2878896,24;0;0,0
2823;2823;2016-07-01;American Express;Crédito;Intermediário;949517;586006;20667290;2079521723,29;505187;129158331,64
2824;2824;2023-10-01;MasterCard;Crédito;Básico Nacional;30274807;4915573;81814462;9051248390,13;70357;4857047,19
2825;2825;2021-07-01;American Express;Crédito;Premium;425658;327600;10401286;2921995387,49;191562;207424447,5
2826;2826;2016-07-01;Bandeira própria;Débito;Outros;1741475;433464;3169833;191802733,85;115555;3263103,31
2827;2827;2024-04-01;American Express;Crédito;Intermediário;315511;195772;7637368;1317372600,51;60512;31665624,31
2828;2828;2017-07-01;American Express;Crédito;Corporativo;148355;82595;2635771;1394600561,42;246651;187143924,92
2829;2829;2020-01-01;Bandeira própria;Crédito;Outros;7881264;5966435;12618441;1667456602,01;0;0,0
2830;2830;2013-10-01;MasterCard;Débito;Intermediário;835732;355797;7270029;536126228,27;4730;1277095,42
2831;2831;2013-07-01;MasterCard;Crédito;Básico Internacional;14680858;8438135;128664763;12746330949,06;3199308;293964499,6
2832;2832;2014-10-01;VISA;Débito;Intermediário;1441948;810701;20463365;1588383787,96;1;316,28
2833;2833;2011-07-01;MasterCard;Crédito;Corporativo;56585;24146;671034;243600742,71;28577;14312675,33
2834;2834;2021-10-01;MasterCard;Pré-Pago;Outros;17555188;3350196;28125516;1654027760,51;175645;30143935,06
2835;2835;2023-10-01;Elo;Crédito;Platinum;185787;120480;3470666;537781942,53;5369;1296761,01
2836;2836;2019-01-01;Bandeira própria;Pré-Pago;Outros;1;0;13654383;1544628269,71;0;0,0
2837;2837;2017-01-01;Outras;Crédito;Outros;1096496;334880;2573688;368303092,23;9;2971,55
2838;2838;2018-10-01;Elo;Crédito;Corporativo;24174;14530;22132;121894388,05;87;78495,64
2839;2839;2022-07-01;Elo;Crédito;Empresarial;511567;301681;6549615;1841700120,46;7906;4568700,56
2840;2840;2017-10-01;MasterCard;Débito;Básico Nacional;1136790;568999;13133572;869981135,44;37;13962,61
2841;2841;2019-07-01;VISA;Pré-Pago;Corporativo;535864;161482;2145148;154859212,27;1613764;233080867,8
2842;2842;2021-07-01;VISA;Crédito;Premium;2379627;1819085;107644260;21816427505,01;985027;629520506,28
2843;2843;2014-04-01;MasterCard;Crédito;Corporativo;64321;30762;848605;355055121,57;60160;32203804,34
2844;2844;2013-07-01;MasterCard;Débito;Básico Nacional;2578351;757430;11219650;650430576,37;72;13024,61
2845;2845;2022-04-01;VISA;Pré-Pago;Empresarial;4210;2196;38839;5161115,42;0;0,0
