;localidade_nome;serie
259;Pernambuco;201903
260;Pernambuco;201904
261;Pernambuco;201905
262;Pernambuco;201906
263;Pernambuco;201907
264;Pernambuco;201908
265;Pernambuco;201909
266;Pernambuco;201910
267;Pernambuco;201911
268;Pernambuco;201912
269;Pernambuco;202001
270;Pernambuco;202002
271;Pernambuco;202003
272;Pernambuco;202004
273;Pernambuco;202005
274;Pernambuco;202006
275;Pernambuco;202007
276;Pernambuco;202008
277;Pernambuco;202009
278;Pernambuco;202010
279;Pernambuco;202011
280;Pernambuco;202012
281;Pernambuco;202101
282;Pernambuco;202102
283;Pernambuco;202103
284;Pernambuco;202104
285;Pernambuco;202105
286;Pernambuco;202106
287;Pernambuco;202107
288;Pernambuco;202108
289;Pernambuco;202109
290;Pernambuco;202110
291;Pernambuco;202111
292;Pernambuco;202112
293;Pernambuco;202201
294;Pernambuco;202202
295;Pernambuco;202203
296;Pernambuco;202204
297;Pernambuco;202205
298;Pernambuco;202206
299;Pernambuco;202207
300;Pernambuco;202208
301;Pernambuco;202209
302;Pernambuco;202210
303;Pernambuco;202211
304;Pernambuco;202212
305;Pernambuco;202301
306;Pernambuco;202302
307;Pernambuco;202303
308;Pernambuco;202304
309;Pernambuco;202305
310;Pernambuco;202306
311;Pernambuco;202307
312;Pernambuco;202308
313;Pernambuco;202309
314;Pernambuco;202310
315;Pernambuco;202311
316;Pernambuco;202312
317;Pernambuco;202401
318;Pernambuco;202402
319;Pernambuco;202403
320;Pernambuco;202404
321;Pernambuco;202405
322;Pernambuco;202406
323;Pernambuco;202407
324;Bahia;201102
325;Bahia;201103
326;Bahia;201104
327;Bahia;201105
328;Bahia;201106
329;Bahia;201107
330;Bahia;201108
331;Bahia;201109
332;Bahia;201110
333;Bahia;201111
334;Bahia;201112
335;Bahia;201201
336;Bahia;201202
337;Bahia;201203
338;Bahia;201204
339;Bahia;201205
340;Bahia;201206
341;Bahia;201207
342;Bahia;201208
343;Bahia;201209
344;Bahia;201210
345;Bahia;201211
346;Bahia;201212
347;Bahia;201301
348;Bahia;201302
349;Bahia;201303
350;Bahia;201304
351;Bahia;201305
352;Bahia;201306
353;Bahia;201307
354;Bahia;201308
355;Bahia;201309
356;Bahia;201310
357;Bahia;201311
358;Bahia;201312
359;Bahia;201401
360;Bahia;201402
361;Bahia;201403
362;Bahia;201404
363;Bahia;201405
364;Bahia;201406
365;Bahia;201407
366;Bahia;201408
367;Bahia;201409
368;Bahia;201410
369;Bahia;201411
370;Bahia;201412
371;Bahia;201501
372;Bahia;201502
373;Bahia;201503
374;Bahia;201504
375;Bahia;201505
376;Bahia;201506
377;Bahia;201507
378;Bahia;201508
379;Bahia;201509
380;Bahia;201510
381;Bahia;201511
382;Bahia;201512
383;Bahia;201601
384;Bahia;201602
385;Bahia;201603
386;Bahia;201604
387;Bahia;201605
388;Bahia;201606
389;Bahia;201607
390;Bahia;201608
391;Bahia;201609
392;Bahia;201610
393;Bahia;201611
394;Bahia;201612
395;Bahia;201701
396;Bahia;201702
397;Bahia;201703
398;Bahia;201704
399;Bahia;201705
400;Bahia;201706
401;Bahia;201707
402;Bahia;201708
403;Bahia;201709
404;Bahia;201710
405;Bahia;201711
406;Bahia;201712
407;Bahia;201801
408;Bahia;201802
409;Bahia;201803
410;Bahia;201804
411;Bahia;201805
412;Bahia;201806
413;Bahia;201807
414;Bahia;201808
415;Bahia;201809
416;Bahia;201810
417;Bahia;201811
418;Bahia;201812
419;Bahia;201901
420;Bahia;201902
421;Bahia;201903
422;Bahia;201904
423;Bahia;201905
424;Bahia;201906
425;Bahia;201907
426;Bahia;201908
427;Bahia;201909
428;Bahia;201910
429;Bahia;201911
430;Bahia;201912
431;Bahia;202001
432;Bahia;202002
433;Bahia;202003
434;Bahia;202004
435;Bahia;202005
436;Bahia;202006
437;Bahia;202007
438;Bahia;202008
439;Bahia;202009
440;Bahia;202010
441;Bahia;202011
442;Bahia;202012
443;Bahia;202101
444;Bahia;202102
445;Bahia;202103
446;Bahia;202104
447;Bahia;202105
448;Bahia;202106
449;Bahia;202107
450;Bahia;202108
451;Bahia;202109
452;Bahia;202110
453;Bahia;202111
454;Bahia;202112
455;Bahia;202201
456;Bahia;202202
457;Bahia;202203
458;Bahia;202204
459;Bahia;202205
460;Bahia;202206
461;Bahia;202207
462;Bahia;202208
463;Bahia;202209
464;Bahia;202210
465;Bahia;202211
466;Bahia;202212
467;Bahia;202301
468;Bahia;202302
469;Bahia;202303
470;Bahia;202304
471;Bahia;202305
472;Bahia;202306
473;Bahia;202307
474;Bahia;202308
475;Bahia;202309
476;Bahia;202310
477;Bahia;202311
478;Bahia;202312
479;Bahia;202401
480;Bahia;202402
481;Bahia;202403
482;Bahia;202404
483;Bahia;202405
484;Bahia;202406
485;Bahia;202407
486;Minas Gerais;201102
487;Minas Gerais;201103
488;Minas Gerais;201104
