;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
631;20221;American Express;Crédito;Básico Nacional;52263;40330;853752;122085876,5;3849;1392501,54;2022-01-01
632;20241;MasterCard;Débito;Empresarial;1961269;443005;14709601;952538210,62;31;22521,33;2024-01-01
633;20203;American Express;Crédito;Empresarial;23191;16227;384108;174719319,51;13912;20487446,13;2020-07-01
634;20234;VISA;Débito;Platinum;2028695;1190771;49648689;4386408104,15;683;121504,77;2023-10-01
635;20223;VISA;Débito;Básico Internacional;139007200;44292568;1027848604;67896264579,66;20983;4123210,16;2022-07-01
636;20241;VISA;Pré-Pago;Corporativo;1745374;177742;4640200;654885089,16;443244;117508507,77;2024-01-01
637;20242;VISA;Crédito;Empresarial;3175947;1762810;47477293;14304340699,09;526775;444289534,11;2024-04-01
638;20233;Bandeira própria;Pré-Pago;Outros;726488;726487;964044915;2140984691,18;0;0,0;2023-07-01
639;20213;VISA;Crédito;Básico Nacional;24850699;11548224;202735368;17618179186,04;169010;24333009,22;2021-07-01
640;20204;MasterCard;Débito;Básico Internacional;82355895;23181233;672372738;48288141489,17;29878;10140958,39;2020-10-01
641;20242;Elo;Pré-Pago;Empresarial;206467;175935;2000422;232997097,9;0;0,0;2024-04-01
642;20203;VISA;Crédito;Platinum;6085389;4483316;169201524;24959474876,87;1158730;346357154,77;2020-07-01
643;20234;Elo;Crédito;Outros;297174;242376;13394331;3077462141,47;43361;23693270,18;2023-10-01
644;20242;MasterCard;Pré-Pago;Corporativo;3927035;2044984;32997256;1889167218,71;43116;2767579,33;2024-04-01
645;20222;MasterCard;Crédito;Platinum;15157251;12000757;425012379;54674179346,94;3627654;991422598,01;2022-04-01
646;20224;Elo;Débito;Básico Internacional;33087882;11996073;348182686;20527584287,01;0;0,0;2022-10-01
647;20214;MasterCard;Débito;Empresarial;1521680;442638;13036585;972716351,22;45;60424,95;2021-10-01
648;20203;American Express;Crédito;Intermediário;611362;342225;6848961;1163166556,66;60202;21145445,83;2020-07-01
649;20241;MasterCard;Pré-Pago;Empresarial;3605035;863471;36989554;2140253630,18;5448;868605,99;2024-01-01
650;20213;MasterCard;Débito;Empresarial;1427640;429259;12229724;886779624,06;42;21897,08;2021-07-01
651;20213;American Express;Crédito;Intermediário;470445;334998;8313945;1416219957,4;57388;24644122,19;2021-07-01
652;20201;Elo;Crédito;Intermediário;3369512;1730931;25208020;2314337378,19;14522;2276885,77;2020-01-01
653;20234;MasterCard;Débito;Platinum;961088;470959;15932134;1193367591,79;4496;2077769,39;2023-10-01
654;20223;MasterCard;Pré-Pago;Premium;120712;67496;1654770;106705750,68;0;0,0;2022-07-01
655;20231;Elo;Pré-Pago;Básico Internacional;15208977;3977217;22892472;938116790,62;2571;372504,2;2023-01-01
656;20224;VISA;Débito;Outros;1346;159;11407;632612,44;0;0,0;2022-10-01
657;20202;MasterCard;Crédito;Premium;2098994;1709416;77468977;14706872549,4;1015926;379369256,4;2020-04-01
658;20221;VISA;Crédito;Outros;10064056;2876650;34980178;3774377779,61;101018;62880525,33;2022-01-01
659;20202;MasterCard;Débito;Básico Nacional;816748;472616;8057255;618633072,79;1;1074,33;2020-04-01
660;20203;Hipercard;Crédito;Empresarial;1905;1294;8944;5421263,84;1;0,01;2020-07-01
661;20232;VISA;Débito;Outros;2327;315;16183;752624,88;0;0,0;2023-04-01
